"Advertiser ID","Advertiser","Campaign Group ID","Campaign Group","Campaign ID","Campaign","Domains","App Title","Channel Type","Channel Subtype","Media Cost","Third-Party CPM Fee","Third-Party CPC Fee","Impressions","Clicks","Conversions","eCPM","CTR","CVR","eCPC","eCPA","Secondary Conversions","Conversion Revenue","ROAS","eCPE","eCPA (Secondary)"
"126243","Côtes-d'Armor Destination","436943","Campagne Communication Côtes-d'Armor Destination x Agence hémisphère Sud","3182542","La famille exploratrice_Native Ad","lemonde.fr","","Native","Standard","€0,74 ","€0,00 ","€0,00 ","203","2","0","€3,66 ","0,99%","0,00%","€0,37 ","n/a","0","€0,00 ","0,00%","n/a","n/a"
"126243","Côtes-d'Armor Destination","436943","Campagne Communication Côtes-d'Armor Destination x Agence hémisphère Sud","3189086","Le couple en quête de déconnexion_Native Ad","liberation.fr","","Native","Standard","€109,94 ","€0,00 ","€0,00 ","29 930","517","0","€3,67 ","1,73%","0,00%","€0,21 ","n/a","0","€0,00 ","0,00%","n/a","n/a"
"126243","Côtes-d'Armor Destination","436943","Campagne Communication Côtes-d'Armor Destination x Agence hémisphère Sud","3183139","La famille exploratrice_Display Ad","vinted.fr","","Display","Standard","€0,35 ","€0,00 ","€0,00 ","88","0","0","€4,01 ","0,00%","n/a","n/a","n/a","0","€0,00 ","0,00%","n/a","n/a"
"126243","Côtes-d'Armor Destination","436943","Campagne Communication Côtes-d'Armor Destination x Agence hémisphère Sud","3183139","La famille exploratrice_Display Ad","admagazine.fr","","Display","Standard","€0,27 ","€0,00 ","€0,00 ","70","0","0","€3,90 ","0,00%","n/a","n/a","n/a","0","€0,00 ","0,00%","n/a","n/a"
"126243","Côtes-d'Armor Destination","436943","Campagne Communication Côtes-d'Armor Destination x Agence hémisphère Sud","3183430","Le couple en quête de déconnexion_Display Ad","allocine.fr","","Display","Standard","€4,95 ","€0,00 ","€0,00 ","1 285","0","0","€3,85 ","0,00%","n/a","n/a","n/a","0","€0,00 ","0,00%","n/a","n/a"
"126243","Côtes-d'Armor Destination","436943","Campagne Communication Côtes-d'Armor Destination x Agence hémisphère Sud","3183430","Le couple en quête de déconnexion_Display Ad","lindependant.fr","","Display","Standard","€0,96 ","€0,00 ","€0,00 ","226","0","0","€4,27 ","0,00%","n/a","n/a","n/a","0","€0,00 ","0,00%","n/a","n/a"
"126243","Côtes-d'Armor Destination","436943","Campagne Communication Côtes-d'Armor Destination x Agence hémisphère Sud","3189086","Le couple en quête de déconnexion_Native Ad","cosmopolitan.fr","","Native","Standard","€0,91 ","€0,00 ","€0,00 ","252","0","0","€3,60 ","0,00%","n/a","n/a","n/a","0","€0,00 ","0,00%","n/a","n/a"
"126243","Côtes-d'Armor Destination","436943","Campagne Communication Côtes-d'Armor Destination x Agence hémisphère Sud","3189086","Le couple en quête de déconnexion_Native Ad","cotemaison.fr","","Native","Standard","€0,03 ","€0,00 ","€0,00 ","8","0","0","€3,59 ","0,00%","n/a","n/a","n/a","0","€0,00 ","0,00%","n/a","n/a"
"126243","Côtes-d'Armor Destination","436943","Campagne Communication Côtes-d'Armor Destination x Agence hémisphère Sud","3183139","La famille exploratrice_Display Ad","mercipourlinfo.fr","","Display","Standard","€0,00 ","€0,00 ","€0,00 ","1","0","0","€4,69 ","0,00%","n/a","n/a","n/a","0","€0,00 ","0,00%","n/a","n/a"
"126243","Côtes-d'Armor Destination","436943","Campagne Communication Côtes-d'Armor Destination x Agence hémisphère Sud","3183430","Le couple en quête de déconnexion_Display Ad","marmiton.org","","Display","Standard","€30,64 ","€0,00 ","€0,00 ","7 120","4","0","€4,30 ","0,06%","0,00%","€7,66 ","n/a","0","€0,00 ","0,00%","n/a","n/a"
